,latitude,longitude,frp
550,-37.73996,148.33043,3.4
551,-37.73982,149.25363,9.0
552,-37.73931,148.26352,3.0
553,-37.7393,148.29317,4.2
554,-37.73924,148.20041,1.7
555,-37.73907,148.26297,3.0
556,-37.73877,148.19432,1.7
557,-37.73872,148.1949,4.7
558,-37.73863,148.20001,1.4
559,-37.73849,148.31755,9.8
560,-37.73848,149.26012,8.5
561,-37.73824,149.2536,2.5
562,-37.73816,148.29898,6.8
563,-37.73812,148.19386,2.7
564,-37.73735,148.32335,5.3
565,-37.7366,148.17557,1.4
566,-37.7362,148.32918,5.3
567,-37.73579,149.2538,2.1
568,-37.73551,148.27643,2.1
569,-37.73535,148.27586,2.8
570,-37.73509,148.27374,2.2
571,-37.73505,148.27034,2.1
572,-37.73485,148.26978,2.8
573,-37.73473,148.31635,9.8
574,-37.73469,148.32642,2.9
575,-37.73461,148.17545,13.6
576,-37.73457,148.26408,1.9
577,-37.73455,148.3271,3.0
578,-37.73434,148.26355,2.8
579,-37.73409,148.2578,1.9
580,-37.73381,148.25719,2.3
581,-37.7337,148.26076,12.5
582,-37.73358,148.32216,5.3
583,-37.73263,148.17642,2.5
584,-37.73243,148.32797,5.3
585,-37.73188,148.17606,1.4
586,-37.73143,148.27228,5.1
587,-37.73098,149.01678,2.5
588,-37.73096,148.31514,1.8
589,-37.73077,148.27698,2.1
590,-37.73061,148.2764,2.8
591,-37.7303,148.27083,2.1
592,-37.7303,148.27797,5.1
593,-37.73011,148.1982,4.1
594,-37.72996,149.02971,3.8
595,-37.72959,149.02147,4.4
596,-37.72944,149.02255,4.3
597,-37.72932,148.19527,2.1
598,-37.7291,149.01057,2.2
599,-37.72894,149.01547,4.3
600,-37.72886,148.95364,6.4
601,-37.72868,148.19484,1.5
602,-37.72854,149.03172,1.9
603,-37.72844,149.00861,2.8
604,-37.72827,149.02785,7.5
605,-37.72795,149.00191,2.8
606,-37.72747,148.99527,6.2
607,-37.72722,149.00439,2.2
608,-37.72701,149.01395,8.4
609,-37.72696,148.95451,4.6
610,-37.72695,149.03418,7.5
611,-37.72676,149.02588,2.5
612,-37.72638,148.9659,7.9
613,-37.7263,149.26115,2.6
614,-37.72628,149.26208,2.3
615,-37.72571,149.02017,8.4
616,-37.72551,149.03712,2.4
617,-37.72536,149.26263,7.6
618,-37.72534,149.01189,8.9
619,-37.72521,148.99777,2.6
620,-37.72519,148.9922,6.3
621,-37.72498,149.02002,2.5
622,-37.72441,149.00648,8.0
623,-37.7244,148.9668,8.3
624,-37.72395,148.99832,6.3
625,-37.72349,149.00903,3.4
626,-37.72331,148.99152,2.6
627,-37.72312,148.97296,4.3
628,-37.72308,148.993,7.2
629,-37.72301,149.00229,3.4
630,-37.72258,148.33725,4.6
631,-37.72253,148.99568,2.3
632,-37.72252,149.03487,2.1
633,-37.72182,148.99905,10.5
634,-37.72177,149.03909,9.1
635,-37.72168,149.03551,2.5
636,-37.72146,149.01057,8.9
637,-37.72131,148.99092,6.8
638,-37.72128,149.26155,2.6
639,-37.72126,149.00778,2.2
640,-37.72126,149.26248,1.9
641,-37.72125,148.97078,7.9
642,-37.72095,148.33441,2.0
643,-37.72055,149.03748,2.4
644,-37.72049,148.98553,7.2
645,-37.72025,149.03703,8.1
646,-37.72016,149.26743,12.0
647,-37.71925,148.97165,12.5
648,-37.71896,149.04337,5.1
649,-37.71856,149.00958,3.4
650,-37.71831,149.04399,2.1
651,-37.71795,148.97787,12.5
652,-37.71743,149.04457,3.6
653,-37.71711,148.9894,2.3
654,-37.71677,149.26866,4.6
655,-37.71671,149.26961,4.8
656,-37.71658,149.04405,9.1
657,-37.71653,149.03816,2.1
658,-37.7162,148.32899,5.0
659,-37.71613,148.97565,15.3
660,-37.71611,149.04504,4.8
661,-37.7161,148.97531,3.3
662,-37.71568,149.03874,2.5
663,-37.71508,149.04199,5.1
664,-37.71494,149.27234,5.0
665,-37.7141,148.97647,12.5
666,-37.71381,149.04831,5.1
667,-37.71359,148.32199,5.0
668,-37.71243,148.3278,9.1
669,-37.71233,149.04726,4.1
670,-37.71227,148.97427,15.3
671,-37.71225,149.27574,4.6
672,-37.71215,149.27667,2.6
673,-37.7117,149.27013,2.6
674,-37.71165,149.05251,4.8
675,-37.71146,149.04791,3.9
676,-37.71139,149.049,18.9
677,-37.71095,149.05878,2.8
678,-37.71067,148.96887,2.8
679,-37.71044,148.32303,2.1
680,-37.71042,149.05188,2.8
681,-37.70982,148.32082,5.0
682,-37.70973,149.27715,6.2
683,-37.70866,148.32664,9.1
684,-37.70864,149.0533,9.2
685,-37.70845,149.28328,6.2
686,-37.70722,149.27605,4.1
687,-37.70718,149.05981,2.6
688,-37.70713,149.27704,2.6
689,-37.70651,149.06601,1.5
690,-37.7062,148.32996,3.1
691,-37.70613,148.3201,1.8
692,-37.70604,148.31963,7.2
693,-37.70599,149.05917,2.8
694,-37.7057,148.32367,2.1
695,-37.70519,148.31737,2.1
696,-37.70449,149.28209,7.9
697,-37.70405,149.06587,2.8
698,-37.7037,148.11086,5.6
699,-37.7036,149.06636,9.8
700,-37.70319,149.07397,4.4
701,-37.70312,149.0666,1.9
702,-37.70275,148.11099,1.7
703,-37.70271,149.06711,2.6
704,-37.7023,149.07256,11.2
705,-37.70228,148.31842,7.2
706,-37.70223,148.10472,1.7
707,-37.70207,149.07327,3.6
708,-37.70202,148.32193,1.8
709,-37.70113,148.32422,8.5
710,-37.70095,149.07063,19.1
711,-37.70094,148.32416,1.7
712,-37.70044,148.31784,1.7
713,-37.69999,149.07541,2.1
714,-37.69997,148.33003,8.5
715,-37.69994,148.32343,1.2
716,-37.69969,149.07681,4.8
717,-37.69904,149.07622,1.9
718,-37.69871,149.08128,2.8
719,-37.69823,149.07439,2.8
720,-37.69764,149.08064,3.7
721,-37.69712,149.07372,3.6
722,-37.69711,149.07742,17.5
723,-37.69669,148.33096,2.5
724,-37.6962,148.32878,3.4
725,-37.6958,149.07552,10.5
726,-37.69452,149.0818,10.5
727,-37.69398,149.07855,3.0
728,-37.69376,149.08195,2.8
729,-37.69343,148.09338,2.9
730,-37.693,149.0793,3.8
731,-37.6927,149.08128,4.0
732,-37.69228,148.09897,1.9
733,-37.69188,149.0825,12.3
734,-37.69175,148.09247,1.9
735,-37.69157,148.64108,3.2
736,-37.6914,149.09291,1.5
737,-37.69118,148.09409,11.5
738,-37.69107,148.63445,2.2
739,-37.69057,148.62772,2.2
740,-37.69048,147.7977,1.5
741,-37.69027,149.09334,2.2
742,-37.69007,148.62105,1.6
743,-37.69,147.7921,1.5
744,-37.68982,149.09721,4.0
745,-37.68957,149.08691,3.0
746,-37.68933,149.09012,4.0
747,-37.68928,149.08707,8.3
748,-37.68886,149.09668,3.1
749,-37.68856,149.08766,2.2
750,-37.68832,149.08943,4.0
751,-37.68785,148.09691,5.0
752,-37.68781,147.79361,5.3
753,-37.68744,148.09294,4.1
754,-37.68743,148.67336,9.2
755,-37.68708,148.09322,1.9
756,-37.68689,148.65921,25.8
757,-37.68675,147.79906,5.3
758,-37.68662,148.53845,4.6
759,-37.68657,148.73737,12.1
760,-37.68604,148.6602,42.9
761,-37.68574,148.62833,3.2
762,-37.68569,148.66522,25.8
763,-37.68544,148.54437,8.4
764,-37.68536,149.08589,5.5
765,-37.68525,148.62166,12.2
766,-37.68524,148.08992,5.0
767,-37.68518,148.72417,12.4
